request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_ttlb_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
193,medium_page.bin,33,QUIC/HTTP3,204859,0.000420,0.000340,0.000680,0.003,74278100,72537.207,70.837
194,medium_page.bin,34,QUIC/HTTP3,204859,0.000440,0.000250,0.000660,0.003,77804406,75980.865,74.200
195,medium_page.bin,35,QUIC/HTTP3,204859,0.000450,0.000280,0.000750,0.003,73373567,71653.874,69.974
196,medium_page.bin,36,QUIC/HTTP3,204859,0.000460,0.000250,0.000690,0.003,75067424,73308.031,71.590
197,medium_page.bin,37,QUIC/HTTP3,204859,0.000420,0.000320,0.000620,0.003,77568724,75750.707,73.975
198,medium_page.bin,38,QUIC/HTTP3,204859,0.000430,0.000250,0.000490,0.002,82338826,80409.010,78.524
199,medium_page.bin,39,QUIC/HTTP3,204859,0.000460,0.000280,0.000730,0.003,73085623,71372.679,69.700
200,medium_page.bin,40,QUIC/HTTP3,204859,0.000450,0.000290,0.000590,0.003,77072611,75266.222,73.502
201,large_page.bin,1,QUIC/HTTP3,512059,0.000440,0.000760,0.001350,0.004,132451888,129347.547,126.316
202,large_page.bin,2,QUIC/HTTP3,512059,0.000430,0.000350,0.001640,0.004,134469275,131317.651,128.240
203,large_page.bin,3,QUIC/HTTP3,512059,0.000460,0.000270,0.001740,0.004,136185904,132994.047,129.877
204,large_page.bin,4,QUIC/HTTP3,512059,0.000460,0.000400,0.001810,0.004,129047127,126022.585,123.069
205,large_page.bin,5,QUIC/HTTP3,512059,0.000460,0.000270,0.001910,0.004,128335589,125327.724,122.390
206,large_page.bin,6,QUIC/HTTP3,512059,0.000450,0.000390,0.001740,0.004,132178369,129080.438,126.055
207,large_page.bin,7,QUIC/HTTP3,512059,0.000470,0.000250,0.001910,0.004,130261765,127208.755,124.227
208,large_page.bin,8,QUIC/HTTP3,512059,0.000450,0.000270,0.001840,0.004,132349186,129247.252,126.218
209,large_page.bin,9,QUIC/HTTP3,512059,0.000430,0.000340,0.001610,0.004,139108666,135848.307,132.664
210,large_page.bin,10,QUIC/HTTP3,512059,0.000470,0.000250,0.001890,0.004,131129065,128055.728,125.054
211,large_page.bin,11,QUIC/HTTP3,512059,0.000450,0.000270,0.001890,0.004,130129352,127079.445,124.101
212,large_page.bin,12,QUIC/HTTP3,512059,0.000430,0.000270,0.001840,0.004,133175293,130053.997,127.006
213,large_page.bin,13,QUIC/HTTP3,512059,0.000460,0.000270,0.001880,0.004,129733722,126693.088,123.724
214,large_page.bin,14,QUIC/HTTP3,512059,0.000460,0.000280,0.001900,0.004,129865331,126821.612,123.849
215,large_page.bin,15,QUIC/HTTP3,512059,0.000440,0.000250,0.001710,0.004,138806994,135553.705,132.377
216,large_page.bin,16,QUIC/HTTP3,512059,0.000460,0.000270,0.001840,0.004,132042032,128947.297,125.925
217,large_page.bin,17,QUIC/HTTP3,512059,0.000460,0.000280,0.001860,0.004,129766599,126725.194,123.755
218,large_page.bin,18,QUIC/HTTP3,512059,0.000440,0.000250,0.001670,0.004,140675549,137378.466,134.159
219,large_page.bin,19,QUIC/HTTP3,512059,0.000460,0.000270,0.001680,0.004,137576303,134351.858,131.203
220,large_page.bin,20,QUIC/HTTP3,512059,0.000430,0.000350,0.001580,0.004,140675549,137378.466,134.159
221,large_page.bin,21,QUIC/HTTP3,512059,0.000450,0.000280,0.001890,0.004,131028403,127957.425,124.958
222,large_page.bin,22,QUIC/HTTP3,512059,0.000450,0.000270,0.001870,0.004,129471302,126436.818,123.473
223,large_page.bin,23,QUIC/HTTP3,512059,0.000460,0.000280,0.001660,0.004,138656648,135406.883,132.233
224,large_page.bin,24,QUIC/HTTP3,512059,0.000420,0.000320,0.001540,0.004,142595099,139253.026,135.989
225,large_page.bin,25,QUIC/HTTP3,512059,0.000460,0.000270,0.001630,0.004,139449619,136181.269,132.990
226,large_page.bin,26,QUIC/HTTP3,512059,0.000430,0.000260,0.001580,0.004,143193233,139837.142,136.560
227,large_page.bin,27,QUIC/HTTP3,512059,0.000460,0.000270,0.001860,0.004,131905976,128814.430,125.795
228,large_page.bin,28,QUIC/HTTP3,512059,0.000440,0.000270,0.001590,0.004,141883901,138558.497,135.311
229,large_page.bin,29,QUIC/HTTP3,512059,0.000450,0.000260,0.001880,0.004,130328073,127273.509,124.291
230,large_page.bin,30,QUIC/HTTP3,512059,0.000420,0.000270,0.001600,0.004,144079629,140702.763,137.405
231,large_page.bin,31,QUIC/HTTP3,512059,0.000410,0.000370,0.001690,0.004,135644768,132465.594,129.361
232,large_page.bin,32,QUIC/HTTP3,512059,0.000450,0.000270,0.001640,0.004,136804435,133598.081,130.467
233,large_page.bin,33,QUIC/HTTP3,512059,0.000450,0.000270,0.001820,0.004,133002338,129885.096,126.841
234,large_page.bin,34,QUIC/HTTP3,512059,0.000420,0.000320,0.001540,0.004,143514294,140150.678,136.866
235,large_page.bin,35,QUIC/HTTP3,512059,0.000470,0.000270,0.001870,0.004,129307828,126277.176,123.318
236,large_page.bin,36,QUIC/HTTP3,512059,0.000460,0.000270,0.001910,0.004,129964213,126918.177,123.944
237,large_page.bin,37,QUIC/HTTP3,512059,0.000430,0.000280,0.001890,0.004,131330854,128252.787,125.247
